video_a,video_b,block,stratum,env_cos,env_chamfer,env_bhat_sim,env_raw,env_percentile_vs_negatives,verdict
19a562bb-aac3-5aae-af05-10d00ef0754a,59b76a7b-4864-572d-8c02-7bf9d6c82bb6,Other,same_site_diff_session,0.7635,0.5407,0.9236,0.6761,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,5cfc3276-8918-5b85-b3d9-f0db3ae92a3e,Other,same_site_diff_session,0.8318,0.6176,0.9371,0.7405,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,6056389a-9403-5a02-a978-a51ff362ade4,Other,same_site_diff_session,0.8066,0.5735,0.9342,0.7092,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,64d74e7f-bc61-5e2e-90f5-56fb929678e2,Other,same_session_distant,0.8887,0.6177,0.9591,0.7637,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,689ccb45-d921-515b-bcc2-a4874a6aed14,Other,same_site_diff_session,0.8261,0.5887,0.935,0.7238,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,9887aaaa-5d63-5f2d-84b9-aee7ff5e8294,Other,same_site_diff_session,0.876,0.6097,0.958,0.7551,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,a1f2969f-530a-5e86-9d6f-f0999cdaed56,Other,same_site_diff_session,0.9005,0.5906,0.9601,0.7545,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,a83bd186-d88e-57ca-9eb8-ce027f21ce36,Other,same_site_diff_session,0.8412,0.5865,0.9389,0.7285,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,b6aa2514-103f-5b96-8ce4-3a88ebefd3c1,Other,same_site_diff_session,0.75,0.5137,0.9301,0.6588,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,c285995e-4cd8-5166-badc-21bee24c3387,Other,same_site_diff_session,0.8512,0.5921,0.9478,0.7361,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,c43cf9fa-6f88-54d6-be70-0d6ede4e1246,Other,same_site_diff_session,0.8183,0.5674,0.9392,0.711,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,e45457e4-c0f5-5d55-9bc4-dfef4c585259,Other,same_session_distant,0.8954,0.5814,0.9588,0.7479,100.0,SAME_ENV
